job,url,notice_status,work_status,done_time
BE,https://www.wanted.co.kr/wd/251024,deleted,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/244779,deleted,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/257202,deleted,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/256743,deleted,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/236632,deleted,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/78227,deleted,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/254584,deleted,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/252491,deleted,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/254691,deleted,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/256217,deleted,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/256780,deleted,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/247617,deleted,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/252494,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/258024,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/256992,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/239179,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/256414,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/251846,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/244681,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/257088,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/256934,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/257156,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/257799,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/257815,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/251917,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/245705,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/225016,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/245122,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/256748,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/245692,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/256242,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/79146,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/257352,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/212669,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/257584,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/227956,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/247540,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/246075,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/255985,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/256543,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/258000,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/251484,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/247828,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/257812,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/256471,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/257300,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/258066,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/253794,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/247709,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/249541,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/256745,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/257217,exist,done,2024-12-29 04:10:14
DA,https://www.wanted.co.kr/wd/257201,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/208822,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/229084,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/236695,exist,done,2024-12-29 04:10:14
BE,https://www.wanted.co.kr/wd/257687,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/258073,exist,done,2024-12-29 04:10:14
DE,https://www.wanted.co.kr/wd/245713,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/253968,exist,done,2024-12-29 04:10:14
MLE,https://www.wanted.co.kr/wd/94542,exist,done,2024-12-29 04:10:14
FE,https://www.wanted.co.kr/wd/184119,update,null,null
BE,https://www.wanted.co.kr/wd/258305,update,null,null
BE,https://www.wanted.co.kr/wd/245124,update,null,null
DA,https://www.wanted.co.kr/wd/247599,update,null,null
FE,https://www.wanted.co.kr/wd/239915,update,null,null
BE,https://www.wanted.co.kr/wd/250560,update,null,null
BE,https://www.wanted.co.kr/wd/258078,update,null,null
FE,https://www.wanted.co.kr/wd/235934,update,null,null
DE,https://www.wanted.co.kr/wd/258351,update,null,null
DA,https://www.wanted.co.kr/wd/257964,update,null,null
BE,https://www.wanted.co.kr/wd/244770,update,null,null
