job,url,notice_status,work_status,done_time
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412150000110&src=etc*search,deleted,done,2024-12-22 10:47:37
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050003559&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050004419&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412120000049&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050003193&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000149&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412120003908&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412190000033&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050003127&src=etc*search,deleted,done,2024-12-22 10:47:37
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050000549&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412060001182&src=etc*search,deleted,done,2024-12-22 10:47:37
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050000367&src=etc*search,deleted,done,2024-12-22 10:47:37
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050001296&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412150000105&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050004401&src=etc*search,deleted,done,2024-12-22 10:47:37
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412050004393&src=etc*search,deleted,done,2024-12-22 10:47:37
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412170000251&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412170004559&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412060003609&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412060001192&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100000125&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100003088&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2410230002393&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411070001009&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100000095&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411170000248&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411070001189&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412090003525&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412170002029&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412020003157&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411260004545&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100000765&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130000763&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412060001953&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180004892&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412200004176&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411290002057&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411290002067&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412040002000&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130002225&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2410230002385&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100002536&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2405290002308&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408220000249&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407140000230&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411130001014&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412090001356&src=etc*search,exist,null,null
