url,notice_status,work_status,done_time,d_day
https://jumpit.saramin.co.kr/position/40484,update,null,null,28
https://jumpit.saramin.co.kr/position/40483,update,null,null,28
https://jumpit.saramin.co.kr/position/40482,update,null,null,28
https://jumpit.saramin.co.kr/position/40532,update,null,null,29
https://jumpit.saramin.co.kr/position/38294,update,null,null,2
https://jumpit.saramin.co.kr/position/40534,update,null,null,29
https://jumpit.saramin.co.kr/position/39493,update,null,null,13
https://jumpit.saramin.co.kr/position/38306,update,null,null,2
https://jumpit.saramin.co.kr/position/39682,update,null,null,22
https://jumpit.saramin.co.kr/position/39956,update,null,null,21
https://jumpit.saramin.co.kr/position/39038,update,null,null,null
https://jumpit.saramin.co.kr/position/38103,update,null,null,5
https://jumpit.saramin.co.kr/position/40091,update,null,null,23
https://jumpit.saramin.co.kr/position/40092,update,null,null,23
https://jumpit.saramin.co.kr/position/40152,update,null,null,24
https://jumpit.saramin.co.kr/position/40153,update,null,null,24
https://jumpit.saramin.co.kr/position/39775,update,null,null,17
https://jumpit.saramin.co.kr/position/39777,update,null,null,17
https://jumpit.saramin.co.kr/position/39762,update,null,null,17
https://jumpit.saramin.co.kr/position/39765,update,null,null,17
https://jumpit.saramin.co.kr/position/39756,update,null,null,17
https://jumpit.saramin.co.kr/position/39746,update,null,null,17
https://jumpit.saramin.co.kr/position/39305,update,null,null,13
https://jumpit.saramin.co.kr/position/38662,update,null,null,6
https://jumpit.saramin.co.kr/position/38408,update,null,null,4
https://jumpit.saramin.co.kr/position/40285,update,null,null,25
https://jumpit.saramin.co.kr/position/39936,update,null,null,9
https://jumpit.saramin.co.kr/position/39823,update,null,null,22
https://jumpit.saramin.co.kr/position/39470,update,null,null,13
https://jumpit.saramin.co.kr/position/39187,update,null,null,12
https://jumpit.saramin.co.kr/position/39186,update,null,null,12
https://jumpit.saramin.co.kr/position/37938,update,null,null,null
https://jumpit.saramin.co.kr/position/40495,update,null,null,27
https://jumpit.saramin.co.kr/position/39728,update,null,null,18
https://jumpit.saramin.co.kr/position/38390,update,null,null,3
https://jumpit.saramin.co.kr/position/38386,update,null,null,4
https://jumpit.saramin.co.kr/position/40287,update,null,null,25
https://jumpit.saramin.co.kr/position/39675,update,null,null,17
https://jumpit.saramin.co.kr/position/26709,update,null,null,null
https://jumpit.saramin.co.kr/position/40535,update,null,null,29
https://jumpit.saramin.co.kr/position/38922,update,null,null,10
https://jumpit.saramin.co.kr/position/23549,update,null,null,null
https://jumpit.saramin.co.kr/position/40377,update,null,null,27
https://jumpit.saramin.co.kr/position/39788,update,null,null,18
https://jumpit.saramin.co.kr/position/39331,update,null,null,12
https://jumpit.saramin.co.kr/position/38369,update,null,null,9
https://jumpit.saramin.co.kr/position/40572,update,null,null,29
https://jumpit.saramin.co.kr/position/40570,update,null,null,29
https://jumpit.saramin.co.kr/position/38781,update,null,null,6
https://jumpit.saramin.co.kr/position/39787,update,null,null,18
https://jumpit.saramin.co.kr/position/39726,update,null,null,21
https://jumpit.saramin.co.kr/position/39323,update,null,null,12
https://jumpit.saramin.co.kr/position/38069,update,null,null,5
https://jumpit.saramin.co.kr/position/39875,update,null,null,18
https://jumpit.saramin.co.kr/position/39876,update,null,null,18
https://jumpit.saramin.co.kr/position/39877,update,null,null,18
https://jumpit.saramin.co.kr/position/40195,update,null,null,24
https://jumpit.saramin.co.kr/position/39432,update,null,null,15
https://jumpit.saramin.co.kr/position/39431,update,null,null,15
https://jumpit.saramin.co.kr/position/39428,update,null,null,15
https://jumpit.saramin.co.kr/position/39427,update,null,null,15
https://jumpit.saramin.co.kr/position/38458,update,null,null,4
https://jumpit.saramin.co.kr/position/39963,update,null,null,19
https://jumpit.saramin.co.kr/position/39060,update,null,null,null
https://jumpit.saramin.co.kr/position/38572,update,null,null,5
https://jumpit.saramin.co.kr/position/40577,update,null,null,29
https://jumpit.saramin.co.kr/position/40576,update,null,null,29
https://jumpit.saramin.co.kr/position/40451,update,null,null,26
https://jumpit.saramin.co.kr/position/39434,update,null,null,15
https://jumpit.saramin.co.kr/position/39433,update,null,null,15
https://jumpit.saramin.co.kr/position/39430,update,null,null,15
https://jumpit.saramin.co.kr/position/39429,update,null,null,15
https://jumpit.saramin.co.kr/position/40433,update,null,null,26
https://jumpit.saramin.co.kr/position/39332,update,null,null,12
https://jumpit.saramin.co.kr/position/40133,update,null,null,23
https://jumpit.saramin.co.kr/position/39375,update,null,null,12
https://jumpit.saramin.co.kr/position/39376,update,null,null,12
https://jumpit.saramin.co.kr/position/39377,update,null,null,12
https://jumpit.saramin.co.kr/position/39391,update,null,null,16
https://jumpit.saramin.co.kr/position/39190,update,null,null,12
https://jumpit.saramin.co.kr/position/39061,update,null,null,11
https://jumpit.saramin.co.kr/position/38170,update,null,null,4
https://jumpit.saramin.co.kr/position/40313,update,null,null,29
https://jumpit.saramin.co.kr/position/38878,update,null,null,10
https://jumpit.saramin.co.kr/position/40096,update,null,null,27
https://jumpit.saramin.co.kr/position/40107,update,null,null,24
https://jumpit.saramin.co.kr/position/39952,update,null,null,19
https://jumpit.saramin.co.kr/position/39613,update,null,null,17
https://jumpit.saramin.co.kr/position/39612,update,null,null,17
https://jumpit.saramin.co.kr/position/39182,update,null,null,12
https://jumpit.saramin.co.kr/position/39181,update,null,null,12
https://jumpit.saramin.co.kr/position/40409,update,null,null,26
https://jumpit.saramin.co.kr/position/40408,update,null,null,26
https://jumpit.saramin.co.kr/position/40357,update,null,null,29
https://jumpit.saramin.co.kr/position/39718,update,null,null,17
https://jumpit.saramin.co.kr/position/39284,update,null,null,12
https://jumpit.saramin.co.kr/position/39228,update,null,null,12
https://jumpit.saramin.co.kr/position/39227,update,null,null,12
https://jumpit.saramin.co.kr/position/40259,update,null,null,26
https://jumpit.saramin.co.kr/position/39814,update,null,null,24
https://jumpit.saramin.co.kr/position/40420,update,null,null,26
https://jumpit.saramin.co.kr/position/40419,update,null,null,26
https://jumpit.saramin.co.kr/position/39265,update,null,null,12
https://jumpit.saramin.co.kr/position/40236,update,null,null,27
https://jumpit.saramin.co.kr/position/38596,update,null,null,9
https://jumpit.saramin.co.kr/position/39623,update,null,null,16
https://jumpit.saramin.co.kr/position/39393,update,null,null,16
https://jumpit.saramin.co.kr/position/39264,update,null,null,12
https://jumpit.saramin.co.kr/position/38073,update,null,null,2
https://jumpit.saramin.co.kr/position/40039,update,null,null,21
https://jumpit.saramin.co.kr/position/39420,update,null,null,16
https://jumpit.saramin.co.kr/position/39327,update,null,null,12
https://jumpit.saramin.co.kr/position/39628,update,null,null,16
https://jumpit.saramin.co.kr/position/39357,update,null,null,41
https://jumpit.saramin.co.kr/position/39348,update,null,null,12
https://jumpit.saramin.co.kr/position/39349,update,null,null,12
https://jumpit.saramin.co.kr/position/39154,update,null,null,12
https://jumpit.saramin.co.kr/position/39155,update,null,null,12
https://jumpit.saramin.co.kr/position/40104,update,null,null,24
https://jumpit.saramin.co.kr/position/40002,update,null,null,24
https://jumpit.saramin.co.kr/position/39597,update,null,null,17
https://jumpit.saramin.co.kr/position/37949,update,null,null,1
https://jumpit.saramin.co.kr/position/40425,update,null,null,11
https://jumpit.saramin.co.kr/position/40372,update,null,null,27
https://jumpit.saramin.co.kr/position/39656,update,null,null,17
https://jumpit.saramin.co.kr/position/39520,update,null,null,13
https://jumpit.saramin.co.kr/position/39347,update,null,null,14
https://jumpit.saramin.co.kr/position/39238,update,null,null,14
https://jumpit.saramin.co.kr/position/39239,update,null,null,14
https://jumpit.saramin.co.kr/position/3877,update,null,null,null
https://jumpit.saramin.co.kr/position/38280,update,null,null,8
https://jumpit.saramin.co.kr/position/40232,update,null,null,25
https://jumpit.saramin.co.kr/position/40111,update,null,null,27
https://jumpit.saramin.co.kr/position/37903,update,null,null,null
https://jumpit.saramin.co.kr/position/38918,update,null,null,7
https://jumpit.saramin.co.kr/position/39066,update,null,null,10
https://jumpit.saramin.co.kr/position/39065,update,null,null,10
https://jumpit.saramin.co.kr/position/38293,update,null,null,3
https://jumpit.saramin.co.kr/position/39705,update,null,null,18
https://jumpit.saramin.co.kr/position/38690,update,null,null,8
https://jumpit.saramin.co.kr/position/38657,update,null,null,9
https://jumpit.saramin.co.kr/position/37937,update,null,null,null
https://jumpit.saramin.co.kr/position/40475,update,null,null,30
https://jumpit.saramin.co.kr/position/39571,update,null,null,16
https://jumpit.saramin.co.kr/position/39472,update,null,null,13
https://jumpit.saramin.co.kr/position/37837,update,null,null,1
https://jumpit.saramin.co.kr/position/40569,update,null,null,28
https://jumpit.saramin.co.kr/position/40562,update,null,null,27
https://jumpit.saramin.co.kr/position/40477,update,null,null,30
https://jumpit.saramin.co.kr/position/40455,update,null,null,26
https://jumpit.saramin.co.kr/position/40248,update,null,null,20
https://jumpit.saramin.co.kr/position/40045,update,null,null,20
https://jumpit.saramin.co.kr/position/39016,update,null,null,12
https://jumpit.saramin.co.kr/position/39017,update,null,null,12
https://jumpit.saramin.co.kr/position/40218,update,null,null,25
https://jumpit.saramin.co.kr/position/39481,update,null,null,14
https://jumpit.saramin.co.kr/position/39484,update,null,null,14
https://jumpit.saramin.co.kr/position/39459,update,null,null,13
https://jumpit.saramin.co.kr/position/39436,update,null,null,14
https://jumpit.saramin.co.kr/position/39435,update,null,null,14
https://jumpit.saramin.co.kr/position/39289,update,null,null,12
https://jumpit.saramin.co.kr/position/39290,update,null,null,12
https://jumpit.saramin.co.kr/position/39291,update,null,null,12
https://jumpit.saramin.co.kr/position/39286,update,null,null,12
https://jumpit.saramin.co.kr/position/39287,update,null,null,12
https://jumpit.saramin.co.kr/position/38920,update,null,null,10
https://jumpit.saramin.co.kr/position/38921,update,null,null,10
https://jumpit.saramin.co.kr/position/37934,update,null,null,null
https://jumpit.saramin.co.kr/position/40234,update,null,null,27
https://jumpit.saramin.co.kr/position/39026,update,null,null,11
https://jumpit.saramin.co.kr/position/39011,update,null,null,11
https://jumpit.saramin.co.kr/position/38674,update,null,null,8
https://jumpit.saramin.co.kr/position/40413,update,null,null,27
https://jumpit.saramin.co.kr/position/40411,update,null,null,27
https://jumpit.saramin.co.kr/position/40131,update,null,null,25
https://jumpit.saramin.co.kr/position/40203,update,null,null,25
https://jumpit.saramin.co.kr/position/40201,update,null,null,25
https://jumpit.saramin.co.kr/position/40200,update,null,null,25
https://jumpit.saramin.co.kr/position/40199,update,null,null,25
https://jumpit.saramin.co.kr/position/40198,update,null,null,25
https://jumpit.saramin.co.kr/position/40089,update,null,null,23
https://jumpit.saramin.co.kr/position/40090,update,null,null,23
https://jumpit.saramin.co.kr/position/39480,update,null,null,14
https://jumpit.saramin.co.kr/position/39241,update,null,null,14
https://jumpit.saramin.co.kr/position/39243,update,null,null,14
https://jumpit.saramin.co.kr/position/38235,update,null,null,2
https://jumpit.saramin.co.kr/position/39950,update,null,null,19
https://jumpit.saramin.co.kr/position/39948,update,null,null,19
https://jumpit.saramin.co.kr/position/38996,update,null,null,10
https://jumpit.saramin.co.kr/position/38271,update,null,null,2
https://jumpit.saramin.co.kr/position/38018,update,null,null,null
https://jumpit.saramin.co.kr/position/40353,update,null,null,28
https://jumpit.saramin.co.kr/position/38834,update,null,null,9
https://jumpit.saramin.co.kr/position/37933,update,null,null,null
https://jumpit.saramin.co.kr/position/39103,update,null,null,7
https://jumpit.saramin.co.kr/position/39900,update,null,null,19
https://jumpit.saramin.co.kr/position/39626,update,null,null,16
https://jumpit.saramin.co.kr/position/38291,update,null,null,3
https://jumpit.saramin.co.kr/position/40206,update,null,null,25
https://jumpit.saramin.co.kr/position/40204,update,null,null,25
https://jumpit.saramin.co.kr/position/39672,update,null,null,17
https://jumpit.saramin.co.kr/position/39467,update,null,null,15
https://jumpit.saramin.co.kr/position/39387,update,null,null,12
https://jumpit.saramin.co.kr/position/39386,update,null,null,12
https://jumpit.saramin.co.kr/position/39385,update,null,null,12
https://jumpit.saramin.co.kr/position/39383,update,null,null,12
https://jumpit.saramin.co.kr/position/39382,update,null,null,12
https://jumpit.saramin.co.kr/position/39381,update,null,null,12
https://jumpit.saramin.co.kr/position/39380,update,null,null,12
https://jumpit.saramin.co.kr/position/39379,update,null,null,12
https://jumpit.saramin.co.kr/position/39167,update,null,null,11
https://jumpit.saramin.co.kr/position/39166,update,null,null,11
https://jumpit.saramin.co.kr/position/40047,update,null,null,20
https://jumpit.saramin.co.kr/position/39940,update,null,null,19
https://jumpit.saramin.co.kr/position/39469,update,null,null,15
https://jumpit.saramin.co.kr/position/39468,update,null,null,15
https://jumpit.saramin.co.kr/position/39466,update,null,null,15
https://jumpit.saramin.co.kr/position/39465,update,null,null,15
