job,url,notice_status,work_status,done_time
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160002917&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160002917&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160002917&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160002917&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160002917&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411040005172&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411040005172&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411040005172&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411040005172&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2411040005172&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407180004024&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407180004024&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407180004024&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407180004024&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407180004024&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412230004762&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412230004762&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412230004762&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412230004762&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412230004762&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412190002002&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412190002002&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412190002002&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412190002002&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412190002002&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100002578&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100002578&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100002578&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100002578&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412100002578&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412270001087&src=etc*search,update,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412270001087&src=etc*search,update,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412270001087&src=etc*search,update,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412270001087&src=etc*search,update,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412270001087&src=etc*search,update,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160001076&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160001076&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160001076&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160001076&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160001076&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160000321&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160000321&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160000321&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160000321&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160000321&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130000001&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130000001&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130000001&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130000001&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412130000001&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412260002809&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412260002809&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412260002809&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412260002809&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412260002809&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000259&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000259&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000259&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000259&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000259&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160004029&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160004029&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160004029&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160004029&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412160004029&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000268&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000268&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000268&src=etc*search,exist,null,null
DA,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000268&src=etc*search,exist,null,null
MLE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412180000268&src=etc*search,exist,null,null
DE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412030002707&src=etc*search,exist,null,null
FE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412030002707&src=etc*search,exist,null,null
BE,https://job.incruit.com/jobdb_info/jobpost.asp?job=2412030002707&src=etc*search,exist,null,null
