job,url,notice_status,work_status,done_time
BE,https://www.wanted.co.kr/wd/250297,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257202,deleted,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/256660,deleted,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/253132,deleted,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/255128,deleted,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/222879,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/236450,deleted,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/235830,deleted,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/257799,deleted,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/247509,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/224704,deleted,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/233424,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257321,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257807,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/256680,deleted,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/255800,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257729,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/253904,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/252489,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257885,deleted,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/257582,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/255914,deleted,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/257132,deleted,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/257584,deleted,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257795,deleted,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/253794,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/256934,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/256217,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/236189,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/256857,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/254691,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/236632,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/200133,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/256813,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/94542,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/249541,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/236695,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/257201,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/256748,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/257300,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/247828,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/256242,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/255716,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/256992,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/255787,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/257156,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/245713,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/208822,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/257088,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/257352,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/256743,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/255936,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/257815,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/238977,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/255848,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/256543,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/251846,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/225016,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/79146,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/249740,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/257217,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/256471,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/245692,exist,done,2024-12-27 13:38:42
DA,https://www.wanted.co.kr/wd/257374,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/253968,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/250560,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/256745,exist,done,2024-12-27 13:38:42
MLE,https://www.wanted.co.kr/wd/245705,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/256117,exist,done,2024-12-27 13:38:42
DE,https://www.wanted.co.kr/wd/239179,exist,done,2024-12-27 13:38:42
BE,https://www.wanted.co.kr/wd/257514,exist,done,2024-12-27 13:38:42
FE,https://www.wanted.co.kr/wd/251136,update,done,2024-12-27 14:01:10
FE,https://www.wanted.co.kr/wd/228927,update,done,2024-12-27 14:01:15
BE,https://www.wanted.co.kr/wd/228190,update,done,2024-12-27 14:01:22
DA,https://www.wanted.co.kr/wd/247599,update,done,2024-12-27 14:01:27
MLE,https://www.wanted.co.kr/wd/244779,update,done,2024-12-27 14:01:33
DE,https://www.wanted.co.kr/wd/160880,update,done,2024-12-27 14:01:38
BE,https://www.wanted.co.kr/wd/233087,update,done,2024-12-27 14:01:44
DE,https://www.wanted.co.kr/wd/251484,update,done,2024-12-27 14:01:51
DE,https://www.wanted.co.kr/wd/244681,update,done,2024-12-27 14:01:57
FE,https://www.wanted.co.kr/wd/235934,update,done,2024-12-27 14:02:02
DA,https://www.wanted.co.kr/wd/251917,update,done,2024-12-27 14:02:07
FE,https://www.wanted.co.kr/wd/130448,update,done,2024-12-27 14:02:12
FE,https://www.wanted.co.kr/wd/252366,update,done,2024-12-27 14:02:19
FE,https://www.wanted.co.kr/wd/224237,update,done,2024-12-27 14:02:24
